"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","Species","sp_idx"
"alpha[54]",-0.296294466503778,0.000554457944282456,0.0389877733891599,-0.390460231550239,-0.317261003807494,-0.289866774760212,-0.268989068629978,-0.237411332761537,4944.46885216358,0.999832181276532,"Urobatis halleri",54
"alpha[49]",-0.296004092066408,0.000517016360403923,0.0387048829644124,-0.384645891962101,-0.317425489675089,-0.291101505040428,-0.268496631524571,-0.235155730031119,5604.32025792901,0.999542970936826,"Torpedo californicus",49
"alpha[38]",-0.295292529945365,0.000556349768429911,0.0385312139499903,-0.387409801929507,-0.316387840332487,-0.290547592939699,-0.268400639622112,-0.233405096791549,4796.55645744124,0.999743289716904,"Roncador stearnsii",38
"alpha[51]",-0.220964253170885,0.000414151359013558,0.0265647847111074,-0.283141737530874,-0.235698742926034,-0.218374698878717,-0.203820170979905,-0.174366471714313,4114.28544764369,0.999520595939449,"Triakis semifasciata",51
"alpha[22]",-0.173288385152645,0.000176526264937373,0.0100729669096607,-0.194859077321978,-0.178882854921021,-0.172919816993271,-0.167499552554996,-0.154107966649833,3256.088122731,1.00135014305678,"Myliobatis californica",22
"alpha[5]",-0.154234443452736,7.72760173983249e-05,0.0048036643636817,-0.164061283551917,-0.156994476457455,-0.154138787227765,-0.15143524193313,-0.144698440974015,3864.16664404997,0.999982559440915,"Carcharodon carcharias",5
"alpha[37]",-0.153518713065479,5.87184729451251e-05,0.00409297155095598,-0.161695788944866,-0.156004463557852,-0.153478142066521,-0.15100440965164,-0.145761617739441,4858.7879611892,0.999905153313912,"Rhinobatos productus",37
"alpha[42]",-0.151715589126727,0.000673467399649877,0.0332325619588766,-0.21327748145838,-0.17221586715267,-0.153762481812178,-0.133583513272895,-0.0792872936435009,2434.97491032365,1.0002112890924,"Squalus acanthias",42
"alpha[3]",-0.149512449211431,0.000190078593492124,0.0103731946259477,-0.169415457574406,-0.155322292977188,-0.150109208025768,-0.144292328829097,-0.125750481707409,2978.23273853597,1.00045438876542,"Bathyraja abyssicola",3
"alpha[43]",-0.148518726557229,0.000116319990809752,0.00669214213734491,-0.161981530076056,-0.152342555463921,-0.148356128022147,-0.144821083040789,-0.134697250651555,3309.95122955399,1.00076319808958,"Squatina californica",43
"alpha[21]",-0.130095445696822,4.62154007018997e-05,0.00305243601150028,-0.13605491847132,-0.131907183138139,-0.13010272155552,-0.128304145815957,-0.123973926672142,4362.3418080692,0.999495701248607,"Mustelus californicus",21
"alpha[6]",-0.0990657859974486,4.13227593236025e-05,0.00249740568188182,-0.104244135269082,-0.100423428605493,-0.0989921095749059,-0.0976669216521769,-0.0941724955936827,3652.57854122591,1.00091097733081,"Chromis punctipinnis",6
"alpha[48]",-0.0824657722845095,0.000667751890495269,0.032854978694337,-0.146099544788867,-0.10314164968568,-0.0831722209377793,-0.0620469903714264,-0.0152303460784243,2420.8736719274,1.0019556171043,"Thaleichthys pacificus",48
"alpha[20]",-0.0799366447837822,0.000132197333521332,0.00740783918228717,-0.095300576964564,-0.0841663129948751,-0.0798938930112807,-0.0755845968025807,-0.0653036445528119,3140.0582212004,1.00007019979093,"Merluccius productus",20
"alpha[36]",-0.0784573859147793,0.000192956731140957,0.00830047802930369,-0.0961900016197368,-0.082023713496024,-0.0784241758925755,-0.0746303923041956,-0.0617622987292832,1850.48829493722,1.0002203452782,"Protomyctophum crockeri",36
"alpha[53]",-0.0612069273057815,2.49830943255379e-05,0.00109063337647728,-0.0632007236231854,-0.0617671551735149,-0.0612145610640592,-0.0606340826061841,-0.0590964812455264,1905.74642184188,1.00108403398675,"Umbrina roncador",53
"alpha[28]",-0.0524020003497437,0.000622122054863276,0.0306613401444888,-0.114248154481408,-0.0718531810805366,-0.053270962273617,-0.0339026789868329,0.0117650464268928,2429.01988709629,1.00093902940522,"Oncorhynchus mykiss",28
"alpha[47]",-0.0515723039577914,4.82511545420609e-05,0.00107419355576461,-0.0532349782668854,-0.0519858267796366,-0.0515291938045882,-0.0510709400853578,-0.0499795887965359,495.62096198631,1.00492111024823,"Symphurus atricauda",47
"alpha[18]",-0.0430865541693516,0.000630507424769716,0.0347516666454386,-0.114813632762462,-0.0638027456504782,-0.0432307031319561,-0.0220985042354229,0.027332008803502,3037.88175086396,1.00036963406308,"Lipolagus ochotensis",18
"alpha[27]",-0.0410853525065943,0.000222727552007562,0.0127250228732631,-0.0661621603124444,-0.0485614399843232,-0.0411365847743719,-0.0336973781924922,-0.0152666680413707,3264.14359454753,1.00075619738949,"Oncorhynchus kisutch",27
"alpha[25]",-0.0367645787614571,0.00056253691595433,0.0287298832501586,-0.0915222094432876,-0.0547490932538998,-0.037377761761389,-0.0198992393373423,0.0233182883292375,2608.34879879061,1.00031522105297,"Oncorhynchus gorbuscha",25
"alpha[55]",-0.03588582007865,0.000205141315548733,0.0100705799791311,-0.0567316245096356,-0.0404675354882186,-0.0356857619344871,-0.0311084714752037,-0.0158444743720828,2409.92037381444,0.999429944582676,"Vinciguerria lucetia",55
"alpha[34]",-0.0321079237164765,3.57957736034935e-05,0.00145535611419228,-0.0349352823547191,-0.032987902994046,-0.0321000847010514,-0.0312547497027553,-0.0292753640529679,1653.00833808756,1.00094732377164,"Paralabrax nebulifer",34
"alpha[45]",-0.0320944763698496,2.34745600428997e-05,0.00106824709597992,-0.0341092703647346,-0.0326695599512501,-0.032108556103877,-0.0315443986679906,-0.029948703244697,2070.8494103778,1.000384269921,"Stereolepis gigas",45
"alpha[50]",-0.0304703469682903,0.00013738427204492,0.00723558249406402,-0.0448931980719269,-0.0349455026959402,-0.0305063178796459,-0.0261215719860984,-0.0155946479686169,2773.78608353334,1.00002527374656,"Trachurus symmetricus",50
"alpha[44]",-0.0301084354083338,0.000114058235627824,0.00574655441669895,-0.0415469679574062,-0.0333868819117866,-0.0301407082402587,-0.0267757902140066,-0.0185322740563078,2538.40987625317,1.00004250690852,"Stenobrachius leucopsarus",44
"alpha[29]",-0.0294512251068295,0.000712683904338106,0.0358414645739565,-0.100150732922003,-0.0524388811090299,-0.0301416965861808,-0.00607360781329034,0.0430608773396727,2529.16751112162,1.00088447636293,"Oncorhynchus nerka",29
"alpha[26]",-0.029288302631691,0.000873339967049401,0.0467899126931497,-0.123616137477678,-0.0607485488796299,-0.0287480386260055,0.00224011783775094,0.0603988466826731,2870.36944808606,1.00117447139068,"Oncorhynchus keta",26
"alpha[7]",-0.0250922469425955,0.000133170246564085,0.00379672035314296,-0.0325106408312232,-0.0276050058535053,-0.0250762514698398,-0.0227119976215564,-0.0175994213727847,812.835781339106,1.00276104929271,"Citharichthys stigmaeus",7
"alpha[24]",-0.0247798949436433,0.000753265986436459,0.0382285201572626,-0.102061222862167,-0.0495805765994225,-0.0245919460380296,-0.000208799964196308,0.0516384176676776,2575.59906301743,0.99991624572286,"Oncorhynchus clarkii",24
"alpha[39]",-0.021919298322516,8.6045248847519e-05,0.00274477128095959,-0.0273765105251995,-0.0236601456057404,-0.0219382361385934,-0.0201565259293685,-0.0164094334147038,1017.55649822301,1.00153465457676,"Sardinops sagax",39
"alpha[30]",-0.0217065698556792,0.000135657709460698,0.00712138295056078,-0.0360906650223092,-0.0259119816918392,-0.0216417422952116,-0.0175002332437261,-0.00716961277971276,2755.74939808318,0.999958033352391,"Oncorhynchus tshawytscha",30
"alpha[40]",-0.0217049790686094,8.16972922988148e-05,0.00301091204875767,-0.0276550348273937,-0.0235546130865796,-0.0217464170378086,-0.0198763092342106,-0.0157056449616695,1358.25343920852,0.999905072757072,"Scorpaenichthys marmoratus",40
"alpha[23]",-0.0172490858366769,0.000127041305762183,0.00750716244634692,-0.03246146048118,-0.0216850682791904,-0.01728267441254,-0.0127598587229736,-0.00152085120511977,3491.89944843217,1.00070244986917,"Nannobrachium ritteri",23
"alpha[8]",-0.0170740507900202,6.94824639105806e-05,0.00216546924063707,-0.0213401302968362,-0.0184293887519417,-0.0171015512523173,-0.0157144865208362,-0.0127621306376079,971.300511238607,1.00479161266353,"Citharichthys xanthostigma",8
"alpha[13]",-0.0164839089897545,6.85831109413141e-06,0.000460815439908362,-0.0174281491139285,-0.0167371651565814,-0.0164721530559776,-0.0162181101834236,-0.0155760940143649,4514.6042090123,1.00026103844544,"Halichoeres semicinctus",13
"alpha[10]",-0.0144735192470205,0.000106884433192977,0.00314901525298788,-0.0207595261949855,-0.0164433595024164,-0.0145166499783885,-0.0124824240926904,-0.00817643659897767,868.001771345635,1.00303606982731,"Engraulis mordax",10
"alpha[9]",-0.0140607182275368,0.000157761227708892,0.00636260259758827,-0.0270536137635603,-0.0162528989726865,-0.0140215366736545,-0.011710800159366,-0.00142604409180687,1626.55608325714,1.00282831460577,"Diogenichthys atlanticus",9
"alpha[46]",-0.0135417183599543,0.000197305865348594,0.010047161877694,-0.0349518255200143,-0.0181583909585842,-0.0133523866522613,-0.00865995826626816,0.00649230837493599,2593.02561869346,1.00061291588484,"Symbolophorus californiensis",46
"alpha[32]",-0.0131472831356647,0.000116133086042819,0.00352206911865649,-0.019907296746217,-0.0152379294122333,-0.0131065245532714,-0.0110234230033612,-0.00635375211593656,919.779689571172,1.00110557761621,"Paralabrax clathratus",32
"alpha[35]",-0.0120946521664397,6.88907987259925e-06,0.00041229942691601,-0.0128834960595193,-0.0123299964932558,-0.0121011126919046,-0.0118715608882931,-0.0112896194908058,3581.81393903674,0.999515232269381,"Paralichthys californicus",35
"alpha[11]",-0.0113833988308062,1.43892927218927e-05,0.00069439263706284,-0.0127510335994099,-0.0117522258087522,-0.0113645345158551,-0.011003298460288,-0.0100519631170336,2328.79531791688,1.00183804485238,"Girella nigricans",11
"alpha[12]",-0.0106570247818319,1.09244977260702e-05,0.00055435165125619,-0.0117396480505863,-0.0109551215315035,-0.0106616770801327,-0.0103619708591259,-0.00959255653138689,2574.94367607341,1.00017649531284,"Halichoeres californica",12
"alpha[31]",-0.00746399749694239,9.22832163381811e-05,0.00324104116578671,-0.0137509580749442,-0.00949127406500219,-0.0074400535610057,-0.00545150509844964,-0.000746260414017144,1233.45596441083,1.00313212574234,"Ophiodon elongatus",31
"alpha[52]",-0.00595536022593083,0.000120759494898124,0.0058372090091934,-0.0175970701566164,-0.00952353216688212,-0.0059564463874252,-0.0025454508385213,0.00561949137262497,2336.51144417831,1.00074571259734,"Triphoturus mexicanus",52
"alpha[41]",-0.00494428202060012,6.1048744567705e-05,0.00196270390401,-0.00885298517899608,-0.00617873393961405,-0.00495797173702849,-0.0037079626657231,-0.00106972479422661,1033.60856141438,1.00050260122725,"Sebastes paucispinis",41
"alpha[19]",-0.0047687321608464,6.37255875313155e-06,0.000402916849051085,-0.00559834132653904,-0.00498512039335464,-0.00476100865653301,-0.00454561335481531,-0.00396625214380274,3997.63520882482,0.999531452865699,"Menticirrhus undulatus",19
"alpha[33]",-0.000433798598006056,0.000113936537873954,0.00370273803459779,-0.00815856667834546,-0.00252885825890392,-0.000423109392012069,0.00178042026501318,0.00685065601474261,1056.13622033826,1.00092771246305,"Paralabrax maculatofasciatus",33
"alpha[56]",0,NA,0,0,0,0,0,0,NA,NA,"zRefSpecies_Citharichthys sordidus",56
"alpha[15]",0.000222478554444567,0.0004502897362691,0.0189740790668674,-0.0382977213717852,-0.011614554649076,0.000279360466607881,0.0115990309791048,0.0389771215355271,1775.56802751454,0.999504347873558,"Hypsopsetta guttulata",15
"alpha[14]",0.00276888904858839,0.000160203917759513,0.00869138636097199,-0.0143489756434877,-0.00234322845766489,0.00274953463163146,0.00785750316425729,0.0202373286212225,2943.28181672014,1.00066884116393,"Hippoglossus stenolepis",14
"alpha[1]",0.00383973544311675,7.49619623737641e-06,0.000457784418015158,0.00291294448298041,0.00358788601617877,0.00383219006918952,0.00408295850189187,0.00479712325955708,3729.40988919587,1.00122356449366,"Atractoscion nobilis",1
"alpha[2]",0.00878763642170755,0.000211267660189728,0.00909278253280951,-0.0111503507084851,0.00550077612880859,0.00943797641478421,0.0131051958768001,0.0239240553626255,1852.36925401603,0.999969262852921,"Bathylagoides wesethi",2
"alpha[17]",0.011930055180846,6.7115554171553e-05,0.00399296559581115,0.00386689433736722,0.00958047471888873,0.0119962447348807,0.0143051139132938,0.0199718715867607,3539.52329949639,1.00053565920669,"Leuroglossus stilbius",17
"alpha[4]",0.0147423278663681,1.04251073257972e-05,0.000531235203989265,0.0136906640515552,0.0144621460706875,0.0147443595822797,0.015010381551579,0.0158405330914973,2596.64527419818,0.999461557649049,"Bodianus pulcher",4
"alpha[16]",0.0319381177029726,0.000925763030536441,0.035898802138736,-0.0431327154686886,0.00958529420929761,0.0334303713786438,0.0558424041449408,0.100550658819015,1503.6967029854,1.00041930181874,"Hypsypops rubicundus",16
